x ,y, z, class, r, g, b
1.168623e+01, -2.144646e+01, 1.198526e+01, 1.000000e+00, 0.000000e+00, 2.550000e+02, 0.000000e+00
-5.912483e+00, -1.914927e+01, 3.037381e+00, 3.000000e+00, 2.550000e+02, 2.550000e+02, 0.000000e+00
1.615915e+01, 2.579123e+01, 5.143137e+00, 4.000000e+00, 2.550000e+02, 0.000000e+00, 2.550000e+02
1.064648e+01, 2.225328e+01, 5.847580e+00, 7.000000e+00, 1.280000e+02, 0.000000e+00, 0.000000e+00
-2.783854e+00, -1.985119e+01, 2.670578e+00, 3.000000e+00, 2.550000e+02, 2.550000e+02, 0.000000e+00
-4.491882e+00, -1.914435e+01, 1.103660e+00, 3.000000e+00, 2.550000e+02, 2.550000e+02, 0.000000e+00
-6.824440e+00, -2.077779e+01, -3.200258e+00, 2.000000e+00, 0.000000e+00, 0.000000e+00, 2.550000e+02
4.467137e+00, 1.779465e+01, 7.564252e+00, 4.000000e+00, 2.550000e+02, 0.000000e+00, 2.550000e+02
-5.043516e+00, -1.945711e+01, 3.843343e+00, 4.000000e+00, 2.550000e+02, 0.000000e+00, 2.550000e+02
1.673638e+01, 2.371110e+01, 3.546618e+00, 7.000000e+00, 1.280000e+02, 0.000000e+00, 0.000000e+00
-3.277791e+00, -1.823689e+01, 4.153409e+00, 3.000000e+00, 2.550000e+02, 2.550000e+02, 0.000000e+00
-8.746338e+00, -2.077550e+01, -2.909913e-01, 3.000000e+00, 2.550000e+02, 2.550000e+02, 0.000000e+00
-4.219654e+00, -2.040773e+01, 3.959782e+00, 4.000000e+00, 2.550000e+02, 0.000000e+00, 2.550000e+02
-5.291545e+00, 3.238371e+01, 4.515854e+00, 6.000000e+00, 1.280000e+02, 1.280000e+02, 1.280000e+02
-4.322420e+00, -1.960814e+01, 1.332297e+00, 1.300000e+01, 2.550000e+02, 2.550000e+02, 2.550000e+02
-8.011287e+00, -2.256810e+01, 1.680898e-02, 3.000000e+00, 2.550000e+02, 2.550000e+02, 0.000000e+00
-4.050618e+00, -1.323431e+01, -9.992825e-01, 1.000000e+00, 0.000000e+00, 2.550000e+02, 0.000000e+00
1.399719e+01, 2.514242e+01, 3.101219e+00, 7.000000e+00, 1.280000e+02, 0.000000e+00, 0.000000e+00
-4.402920e+00, -2.097673e+01, 5.420177e+00, 3.000000e+00, 2.550000e+02, 2.550000e+02, 0.000000e+00
-6.699029e+00, -2.110310e+01, -1.421954e-01, 2.000000e+00, 0.000000e+00, 0.000000e+00, 2.550000e+02
1.718476e+01, 2.866950e+01, 6.442429e+00, 0.000000e+00, 2.550000e+02, 0.000000e+00, 0.000000e+00
-5.806073e+00, -1.934793e+01, 1.627692e+00, 3.000000e+00, 2.550000e+02, 2.550000e+02, 0.000000e+00
-3.045854e+00, -2.063727e+01, 1.433385e+00, 1.300000e+01, 2.550000e+02, 2.550000e+02, 2.550000e+02
-4.684346e+00, -2.161872e+01, -1.402513e-01, 3.000000e+00, 2.550000e+02, 2.550000e+02, 0.000000e+00
1.348390e+01, 2.397929e+01, 4.019039e+00, 7.000000e+00, 1.280000e+02, 0.000000e+00, 0.000000e+00
2.629385e+01, 1.330487e+01, 1.744451e+01, 4.000000e+00, 2.550000e+02, 0.000000e+00, 2.550000e+02
-4.653592e+00, -2.026448e+01, 2.978218e+00, 3.000000e+00, 2.550000e+02, 2.550000e+02, 0.000000e+00
-4.361104e+00, -1.872478e+01, 1.317096e+00, 1.300000e+01, 2.550000e+02, 2.550000e+02, 2.550000e+02
2.522860e+01, 1.608747e+01, 1.399544e+01, 4.000000e+00, 2.550000e+02, 0.000000e+00, 2.550000e+02
2.691882e+01, 1.194263e+01, 1.699402e+01, 4.000000e+00, 2.550000e+02, 0.000000e+00, 2.550000e+02
1.457279e+01, 2.449943e+01, 3.760953e+00, 4.000000e+00, 2.550000e+02, 0.000000e+00, 2.550000e+02
-6.687290e+00, -2.086930e+01, 2.967183e-01, 3.000000e+00, 2.550000e+02, 2.550000e+02, 0.000000e+00
-9.255344e+00, -1.970728e+01, 5.337680e-02, 3.000000e+00, 2.550000e+02, 2.550000e+02, 0.000000e+00
-6.033570e+00, -2.057056e+01, 1.392231e+00, 9.000000e+00, 0.000000e+00, 0.000000e+00, 1.280000e+02
1.069611e+01, 2.129024e+01, 4.433395e+00, 4.000000e+00, 2.550000e+02, 0.000000e+00, 2.550000e+02
-2.169982e+00, -2.128463e+01, 4.996631e+00, 3.000000e+00, 2.550000e+02, 2.550000e+02, 0.000000e+00
-4.399703e+00, -2.115099e+01, 2.457987e+00, 3.000000e+00, 2.550000e+02, 2.550000e+02, 0.000000e+00
-8.287156e+00, -1.999554e+01, -6.503097e-02, 4.000000e+00, 2.550000e+02, 0.000000e+00, 2.550000e+02
-2.528220e+00, -1.989122e+01, 1.691591e+00, 3.000000e+00, 2.550000e+02, 2.550000e+02, 0.000000e+00
1.268015e+01, 2.279229e+01, 4.824016e+00, 4.000000e+00, 2.550000e+02, 0.000000e+00, 2.550000e+02
1.230849e+01, 2.269963e+01, 3.195615e+00, 4.000000e+00, 2.550000e+02, 0.000000e+00, 2.550000e+02
-4.214907e+00, -1.979001e+01, 3.593772e+00, 4.000000e+00, 2.550000e+02, 0.000000e+00, 2.550000e+02
